code_insee;NOM_COM;ID_EPT;NOM_EPT
91105;Breuillet;HORS GP;Hors Grand Paris
91198;D'Huison-Longueville;HORS GP;Hors Grand Paris
91228;Évry-Courcouronnes;HORS GP;Hors Grand Paris
91340;Fontaine-la-Rivière;HORS GP;Hors Grand Paris
91363;Marcoussis;HORS GP;Hors Grand Paris
91377;Massy;HORS GP;Hors Grand Paris
91425;Montlhéry;HORS GP;Hors Grand Paris
91471;Orsay;HORS GP;Hors Grand Paris
91477;Palaiseau;HORS GP;Hors Grand Paris
91521;Ris-Orangis;HORS GP;Hors Grand Paris
91534;Saclay;HORS GP;Hors Grand Paris
95183;Courdimanche;HORS GP;Hors Grand Paris
95203;Eaubonne;HORS GP;Hors Grand Paris
95277;Gonesse;HORS GP;Hors Grand Paris
95280;Goussainville;HORS GP;Hors Grand Paris
95323;Jouy-le-Moutier;HORS GP;Hors Grand Paris
95488;Menucourt;HORS GP;Hors Grand Paris
95563;Saint-Leu-la-Forêt;HORS GP;Hors Grand Paris
95582;Sannois;HORS GP;Hors Grand Paris
95680;Villiers-le-Bel;HORS GP;Hors Grand Paris
75056;Paris;T1;Ville de Paris
94017;Champigny-sur-Marne;T10;Paris-Est-Marne et Bois
94018;Charenton-le-Pont;T10;Paris-Est-Marne et Bois
94033;Fontenay-sous-Bois;T10;Paris-Est-Marne et Bois
94042;Joinville-le-Pont;T10;Paris-Est-Marne et Bois
94046;Maisons-Alfort;T10;Paris-Est-Marne et Bois
94052;Nogent-sur-Marne;T10;Paris-Est-Marne et Bois
94058;Le Perreux-sur-Marne;T10;Paris-Est-Marne et Bois
94067;Saint-Mandé;T10;Paris-Est-Marne et Bois
94068;Saint-Maur-des-Fossés;T10;Paris-Est-Marne et Bois
94079;Villiers-sur-Marne;T10;Paris-Est-Marne et Bois
94080;Vincennes;T10;Paris-Est-Marne et Bois
94069;Saint-Maurice;T10;Paris-Est-Marne et Bois
94015;Bry-sur-Marne;T10;Paris-Est-Marne et Bois
94002;Alfortville;T11;Grand Paris Sud Est Avenir
94004;Boissy-Saint-Léger;T11;Grand Paris Sud Est Avenir
94011;Bonneuil-sur-Marne;T11;Grand Paris Sud Est Avenir
94019;Chennevières-sur-Marne;T11;Grand Paris Sud Est Avenir
